renderType,location,pitch,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any
greedy,alps,horizon,3,True,17510.400000000373,17282.799999998882,18419.5,60.16955510540926,60.15180455413663,60.18344955137337,18.099999999998545,18.099999999998545,18.099999999998545,18.30000000000291,18.30000000000291,18.30000000000291,18.400000000001455,18.400000000001455,18.400000000001455,54.211843202666586,54.18924551896344,54.32511491850836,0,,False
greedy,alps,up,3,True,19019.399999999907,17272.200000001118,19441.300000000047,60.38248907816733,60.351810554316636,60.38339456649421,18.099999999998545,18.099999999998545,18.099999999998545,18.30000000000291,18.30000000000291,18.30000000000291,18.400000000001455,18.400000000001455,18.400000000001455,54.099042863085515,51.875498802870396,54.12156536219555,0,,False
greedy,ljubljana,down,3,True,16402.700000000186,15642.60000000149,18003.5,82.40179494995428,82.37677245104659,82.42692046227057,12.099999999998545,12.099999999998545,12.099999999998545,12.30000000000291,12.30000000000291,12.30000000000291,18.19999999999709,18.19999999999709,18.200000000004366,54.83870967741935,54.6448087431671,54.85640529202556,0,,False
greedy,ljubljana,horizon,3,True,14255.299999998882,14048.599999999627,16055.199999999255,82.72642296945371,82.6764372153936,82.72766353084668,12.099999999998545,12.099999999998545,12.100000000002183,12.30000000000291,12.30000000000291,12.30000000000291,18.19999999999709,18.19999999999709,18.200000000000728,54.82102547564813,54.715159317668366,54.90956072351124,0,,False
greedy,ljubljana,up,3,True,15615,14779.89999999851,16197.699999999953,82.92636598569408,82.92636598569406,82.92760954542274,12.099999999998545,12.099999999998545,12.099999999998545,12.30000000000291,12.30000000000291,12.30000000000291,18.100000000002183,18.099999999998545,18.200000000000728,54.99838240051142,54.856405292024924,55.03399158303373,0,,False
greedy,ne_plain,down,3,True,14879.700000000186,14741.099999999627,15554.900000000373,138.44499462325254,138.4098611402693,138.4534613365334,6.099999999998545,6.099999999998545,6.099999999998545,12.19999999999709,12.19999999999709,12.19999999999709,12.299999999999272,12.299999999995634,12.299999999999272,81.27721335267904,81.27721335267562,81.30081300812544,0,,False
greedy,ne_plain,horizon,3,True,14726.100000000559,14709.200000001118,15119,138.96870330856447,138.96039628705822,139.0027800556011,6.099999999998545,6.099999999998545,6.099999999998545,12.19999999999709,12.19999999999709,12.19999999999709,12.299999999995634,12.299999999995634,12.299999999999272,81.25362739407358,81.18295158016782,81.27721335268076,0,,False
greedy,ne_plain,up,3,True,14731.900000000373,14703.300000000047,14736,139.6020940314105,139.51093693765748,139.61021108983937,6.099999999998545,6.099999999998545,6.099999999998545,12.19999999999709,12.19999999999709,12.19999999999709,12.299999999995634,12.200000000004366,12.299999999999272,81.30081300812458,81.18295158015412,81.32442637234128,0,,False
hybrid,alps,down,3,True,19104.60000000149,18753.200000000186,21723.700000000186,165.0037989362978,165.0037989362978,165.00462372847466,6.099999999998545,6.099999999998545,6.099999999998545,6.19999999999709,6.19999999999709,6.200000000000728,6.200000000004366,6.200000000004366,6.200000000004366,160.68052930047705,159.54950727353526,160.7565011819391,0,,False
hybrid,alps,horizon,3,True,18931.099999999627,18709.79999999993,22571,126.00441015435538,120.66561030106422,139.06864484276701,6.099999999998545,6.099999999998545,6.100000000005821,12.200000000000728,12.19999999999709,12.200000000004366,12.299999999999272,12.299999999995634,12.30000000000291,81.14856429461844,81.03727714747829,81.15942028984738,0,,False
