renderType,location,pitch,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any
mesh,alps,up,3,True,28592.200000000186,26160.5,29105.399999999907,219.38326871577604,210.1896504335224,223.07861484325014,4.400000000001455,4.400000000001455,4.600000000005821,7.69999999999709,7.5,8,12.700000000004366,10.900000000001455,14.69999999999709,51.401869158878505,48.7031373881526,53.33649401446122,0,,False
mesh,ljubljana,down,3,True,28497.39999999944,25731.700000001118,28653.5,166.50509209750442,162.94918525407374,166.5400835448604,5.900000000001455,5.900000000001455,6,7.900000000001454,7.899999999994179,8.099999999998545,15.799999999995633,15.200000000004366,15.799999999995633,49.425788632069555,45.69371365272934,50.28098195799919,0,,False
mesh,ljubljana,horizon,3,True,25050.900000000373,24176.600000000093,25905.5,209.54732181231202,207.43051077888902,213.51583746600548,4.600000000005821,4.599999999998545,4.700000000004366,7.30000000000291,7.19999999999709,7.700000000004366,11.599999999998545,10.900000000001455,13.599999999998545,49.651259014068195,49.04197080291832,51.54639175257714,0,,False
mesh,ljubljana,up,3,True,29748.599999999627,28120.299999999814,30061.799999999814,212.7521340183516,209.71153413437744,223.0600377016966,4.599999999998545,4.30000000000291,4.69999999999709,7.5,7.30000000000291,7.600000000005821,13.299999999995634,10.200000000004366,13.400000000001455,49.048230760247826,48.26579863059938,50.363738108562245,0,,False
mesh,ne_plain,down,3,True,28266.599999999627,26610.600000000093,30788.900000000373,189.38655550390615,176.33185765537095,197.08916009619466,5.19999999999709,5,5.599999999998545,7.80000000000291,7.799999999995634,8.200000000004366,15.900000000001455,15.400000000001455,16.10000000000582,48.69921824939199,48.55023600809314,50.32712632108504,0,,False
mesh,ne_plain,horizon,3,True,27030.899999999907,26134.900000000373,27758.5,203.6348368522073,193.49516262093448,205.54588908221834,4.80000000000291,4.799999999995634,5.099999999998545,7.599999999998545,7.30000000000291,7.80000000000291,15.800000000002909,13.80000000000291,16.19999999999709,50.15432098765535,46.84108305723775,50.87209302325456,0,,False
mesh,ne_plain,up,3,True,28232,27657,29314.10000000056,231.25287379300693,225.53759543225124,233.00446816805112,4.19999999999709,4.19999999999709,4.30000000000291,7.69999999999709,7.600000000005821,7.80000000000291,12.099999999998545,9.5,12.69999999999709,51.15367871136168,50.57570214139659,53.58807082944959,0,,False
planes,alps,down,3,True,29118.900000000373,28781.599999999627,29409.899999999907,25.344748448382518,25.334672523123512,25.34474844838253,39.400000000001455,39.299999999995634,39.5,42,41.5,42,45,44.700000000004366,45.900000000001455,19.607843137254903,19.19999999999955,20.373514431238885,0,,False
planes,alps,horizon,3,True,26905.400000000023,21851.099999999627,27367.100000000093,25.348795433224883,25.346459712076168,25.353602906680766,39.30000000000291,39.30000000000291,39.30000000000291,41.900000000001455,41.69999999999709,42.799999999995634,51.799999999995634,44.5,52.299999999995634,17.820017820017974,17.6004693458499,20.696791997240844,0,,False
planes,alps,up,3,True,29424.200000000186,28050,30048.200000000186,25.356434755751284,25.34980738138486,25.35803245628485,39.30000000000291,39.30000000000291,39.30000000000291,41.80000000000291,41.69999999999709,42,45,44.099999999998545,45.099999999998545,20.22244691607655,19.665683382498106,21.50537634408658,0,,False
planes,ljubljana,down,3,True,25826.700000000186,25178.400000000373,29695,26.009035768664354,25.98791561923705,26.040234911908033,38.299999999995634,38.299999999995634,38.400000000001455,40.5,40.5,40.599999999998545,45.099999999998545,44.099999999998545,52.89999999999418,17.113519680547704,17.0454545454549,17.74098166765243,0,,False
planes,ljubljana,horizon,3,True,24985.299999999814,24102.89999999944,28618.100000000093,26.04283821948964,25.99268612708976,26.09347663084229,38.299999999995634,38.299999999995634,38.299999999995634,41.099999999998545,40.400000000001455,41.099999999998545,52.80000000000291,51.099999999998545,56.099999999998545,15.420200462606072,15.372790161414182,15.649452269170817,0,,False
planes,ljubljana,up,3,True,26902.899999999907,26695.600000000093,27148.39999999944,26.00236113394205,25.99376149724066,26.051674144462027,38.30000000000291,38.200000000004366,38.39999999999418,40.599999999998545,40.39999999999418,40.599999999998545,52.700000000004366,44.099999999998545,55.099999999998545,16.09010458568006,15.970188980569727,17.44186046511591,0,,False
planes,ne_plain,down,3,True,29122.900000000373,24976.299999999814,29711.899999999907,24.452322970682218,24.43878085396083,24.478825815669442,40.900000000001455,40.80000000000291,41,43.400000000001455,43,43.599999999998545,58.599999999998545,46.700000000004366,58.599999999998545,15.94896331738363,15.14233797698378,16.823687752354658,0,,False
planes,ne_plain,horizon,3,True,30333.599999999627,30308.300000000745,30595.700000000186,24.433418933406468,24.43082180488317,24.485675879610433,40.900000000001455,40.89999999999418,41,43.099999999998545,43.099999999998545,43.299999999995634,47.799999999995634,46.89999999999418,57.099999999998545,15.698587127158556,14.675667742882426,17.158544955387697,0,,False
planes,ne_plain,up,3,True,28057.599999999627,27904.89999999851,28857.400000000373,24.481940206226692,24.44462218311972,24.48249501606351,40.900000000001455,40.80000000000291,41,43.30000000000291,43.30000000000291,43.5,47,46.599999999998545,51.599999999998545,16.334531198955055,15.862944162436328,18.712574850299607,0,,False
raycast,alps,down,3,True,23063.799999999814,20904.199999999953,24143.599999999627,365.5586103474131,358.94357743097237,368.49497893100465,2,2,2,6.5,6.400000000001455,6.599999999998545,16.099999999998545,13.400000000001455,18.599999999998545,51.14029025570145,49.049662783568074,51.5535739166781,0,,False
raycast,alps,horizon,3,True,19503.900000000373,19502.5,22659.700000000186,139.5979060314095,139.33869097597056,142.22106730764423,7.099999999998545,7,7.100000000005821,8.5,8.30000000000291,8.5,14.900000000001455,14.30000000000291,15.900000000001455,51.41843971631272,50.450450450449786,55.85477757829732,0,,False
raycast,alps,up,3,True,20450.600000000093,18405.700000000186,22700.10000000056,428.3164782867341,405.26357875377323,431.39841029560904,1.6999999999970896,1.6999999999970896,1.8000000000029104,5.5,5.400000000001455,6,15.200000000004366,12.400000000001455,15.599999999998545,56.1543923062023,55.18912370440264,56.56034199276676,0,,False
raycast,ljubljana,down,3,True,17623.700000000186,16968.899999999907,18148.5,360.7160348222407,309.58715045805496,420.5532727472682,2,1.7000000000007276,2.400000000001455,6.5,5.69999999999709,7.599999999998545,16.599999999998545,10.80000000000291,18.700000000004366,50.061719928679416,48.616011918763405,54.701074715232586,0,,False
raycast,ljubljana,horizon,3,True,22067.5,18332.900000000373,22670.399999999907,380.49613859111025,369.75780863534385,392.3117298607813,1.9000000000014552,1.8000000000029104,1.9000000000014552,6.200000000004366,5.799999999995634,6.5,13.200000000004366,11.599999999998545,13.69999999999709,50.89058524172982,50.81039361975772,51.67091665548234,0,,False
raycast,ljubljana,up,3,True,19758.200000000186,16063,20880.100000000093,440.549336826265,404.4983131325753,441.33304674261325,1.6000000000058208,1.5999999999985448,1.7999999999992724,5.30000000000291,5.299999999995634,5.700000000004366,12.400000000001455,10.80000000000291,14.299999999995634,55.89398982603745,53.65304365105531,58.16993464052149,0,,False
raycast,ne_plain,down,3,True,16202.60000000149,16093.900000000373,16468.899999999907,404.0833262511685,391.74793698424605,418.1630196444715,1.7999999999992724,1.6999999999970896,1.8000000000029104,5.700000000000728,5.5,6.099999999998545,15.700000000000728,11.200000000000728,15.900000000001455,55.002619172341255,54.758439037913476,56.66316894018873,0,,False
raycast,ne_plain,horizon,3,True,15705.700000000186,14868.199999999953,16598.200000000186,388.74255926349826,388.4082309956865,402.8492876780805,1.8000000000029104,1.7999999999956344,1.8000000000029104,6,6,6,16.099999999998545,13.299999999999272,16.30000000000291,53.007135575943046,51.030421982335504,56.12527716186151,0,,False
raycast,ne_plain,up,3,True,16503.19999999972,14769.600000000093,17371.5,373.54124497088736,371.42514539240955,421.38201303634986,1.9000000000014552,1.7000000000007276,1.9000000000014552,6.30000000000291,5.5,6.399999999994179,16.69999999999709,14.299999999999272,16.799999999995634,51.692053208353386,51.156128504196374,58.66519428531822,0,,False
