chunkSize,repeats,quiesced_all,quiesce_ms,quiesce_ms_min,quiesce_ms_max,mean_fps,mean_fps_min,mean_fps_max,p50_ms,p50_ms_min,p50_ms_max,p95_ms,p95_ms_min,p95_ms_max,p99_ms,p99_ms_min,p99_ms_max,low1_fps,low1_fps_min,low1_fps_max,failed,error_msgs,device_lost_any
128,1,True,17623,17623,17623,394.54741767140547,394.54741767140547,394.54741767140547,1.8999999999978172,1.8999999999978172,1.8999999999978172,5.900000000001455,5.900000000001455,5.900000000001455,16.5,16.5,16.5,51.1658031088095,51.1658031088095,51.1658031088095,0,,False
200,1,True,14714.800000000745,14714.800000000745,14714.800000000745,450.66674669627764,450.66674669627764,450.66674669627764,1.6000000000058208,1.6000000000058208,1.6000000000058208,5.099999999998545,5.099999999998545,5.099999999998545,11,11,11,55.85220646903706,55.85220646903706,55.85220646903706,0,,False
256,1,True,22577.299999998882,22577.299999998882,22577.299999998882,367.3132686731327,367.3132686731327,367.3132686731327,2.1000000000058208,2.1000000000058208,2.1000000000058208,5.599999999998545,5.599999999998545,5.599999999998545,10.400000000001455,10.400000000001455,10.400000000001455,55.38093099835411,55.38093099835411,55.38093099835411,0,,False
300,1,True,29051.700000000186,29051.700000000186,29051.700000000186,303.70444433335,303.70444433335,303.70444433335,3.1999999999970896,3.1999999999970896,3.1999999999970896,5.900000000001455,5.900000000001455,5.900000000001455,9.900000000001455,9.900000000001455,9.900000000001455,53.62637362637363,53.62637362637363,53.62637362637363,0,,False
400,1,True,45949,45949,45949,211.9290037837324,211.9290037837324,211.9290037837324,4.69999999999709,4.69999999999709,4.69999999999709,6.19999999999709,6.19999999999709,6.19999999999709,9.39999999999418,9.39999999999418,9.39999999999418,53.56920393670845,53.56920393670845,53.56920393670845,0,,False
500,1,True,63765.40000000037,63765.40000000037,63765.40000000037,167.89160541972902,167.89160541972902,167.89160541972902,5.899999999994179,5.899999999994179,5.899999999994179,7.400000000008731,7.400000000008731,7.400000000008731,10.89999999999418,10.89999999999418,10.89999999999418,55.783429040198214,55.783429040198214,55.783429040198214,0,,False
512,1,True,67321,67321,67321,156.74984005118367,156.74984005118367,156.74984005118367,6.30000000000291,6.30000000000291,6.30000000000291,7.69999999999709,7.69999999999709,7.69999999999709,11.69999999999709,11.69999999999709,11.69999999999709,58.69405722669671,58.69405722669671,58.69405722669671,0,,False
600,1,True,89558.79999999888,89558.79999999888,89558.79999999888,132.71439921250789,132.71439921250789,132.71439921250789,7.5,7.5,7.5,9,9,9,13.89999999999418,13.89999999999418,13.89999999999418,55.361902809104286,55.361902809104286,55.361902809104286,0,,False
700,1,True,129111.49999999907,129111.49999999907,129111.49999999907,104.63430485427186,104.63430485427186,104.63430485427186,9.5,9.5,9.5,11,11,11,13,13,13,55.37974683543284,55.37974683543284,55.37974683543284,0,,False
800,1,True,184632.1000000001,184632.1000000001,184632.1000000001,84.35950743643049,84.35950743643049,84.35950743643049,11.700000000011642,11.700000000011642,11.700000000011642,13.10000000000582,13.10000000000582,13.10000000000582,28.39999999999418,28.39999999999418,28.39999999999418,33.25508607199051,33.25508607199051,33.25508607199051,0,,False
900,1,True,279115.3999999999,279115.3999999999,279115.3999999999,70.19524770678858,70.19524770678858,70.19524770678858,14.100000000034925,14.100000000034925,14.100000000034925,15.399999999965075,15.399999999965075,15.399999999965075,31.20000000001164,31.20000000001164,31.20000000001164,31.446540880503143,31.446540880503143,31.446540880503143,0,,False
1000,1,True,349105.9000000004,349105.9000000004,349105.9000000004,68.31155212156584,68.31155212156584,68.31155212156584,16.29999999998836,16.29999999998836,16.29999999998836,19.099999999976717,19.099999999976717,19.099999999976717,34.20000000001164,34.20000000001164,34.20000000001164,3.792907263417493,3.792907263417493,3.792907263417493,0,,False
